primary_country,Titles,Movies,TVShows
United States,3211,2364,847
India,1008,927,81
Unknown,831,440,391
United Kingdom,628,382,246
Canada,271,187,84
Japan,259,85,174
France,212,148,64
South Korea,211,47,164
Spain,181,129,52
Mexico,134,86,48
Australia,117,61,56
Egypt,112,98,14
Turkey,111,81,30
Germany,103,78,25
China,100,59,41
Nigeria,96,87,9
Taiwan,85,15,70
Indonesia,85,83,2
Brazil,84,56,28
Philippines,80,77,3
Hong Kong,79,76,3
Argentina,76,56,20
Italy,67,48,19
Thailand,65,41,24
South Africa,41,35,6
Colombia,40,15,25
Denmark,30,19,11
Poland,30,22,8
Netherlands,28,23,5
Singapore,28,10,18
Ireland,28,22,6
Lebanon,24,18,6
Malaysia,23,16,7
Chile,22,18,4
Pakistan,22,18,4
Israel,22,12,10
United Arab Emirates,21,20,1
Norway,21,12,9
Russia,19,5,14
Sweden,19,11,8
Belgium,18,9,9
New Zealand,17,15,2
Saudi Arabia,11,7,4
Romania,10,10,0
Austria,9,8,1
Uruguay,9,8,1
Switzerland,8,7,1
Kuwait,7,5,2
Vietnam,7,7,0
Czech Republic,6,5,1
Finland,6,3,3
Peru,6,6,0
Iceland,6,3,3
Bulgaria,5,5,0
Hungary,5,5,0
Ghana,4,4,0
Kenya,4,4,0
Portugal,4,4,0
Bangladesh,3,3,0
Serbia,3,3,0
Venezuela,2,2,0
Ukraine,2,0,2
,2,1,1
Cambodia,2,2,0
Croatia,2,1,1
Mauritius,2,1,1
Georgia,2,2,0
Jordan,2,0,2
Senegal,1,0,1
Iran,1,1,0
West Germany,1,1,0
Belarus,1,0,1
Cameroon,1,1,0
Cyprus,1,0,1
Greece,1,1,0
Guatemala,1,1,0
Jamaica,1,1,0
Puerto Rico,1,0,1
Syria,1,1,0
Luxembourg,1,0,1
Mozambique,1,1,0
Soviet Union,1,1,0
Namibia,1,1,0
Paraguay,1,1,0
Somalia,1,1,0
Slovenia,1,1,0
Zimbabwe,1,1,0
