InvoiceMonth,Revenue,Orders,Customers,AverageOrderValue
2010-12-01,572713.89,1400,885,409.08135
2011-01-01,569445.04,987,741,576.9453292806485
2011-02-01,447137.35,997,758,448.4827983951855
2011-03-01,595500.76,1321,974,450.79542770628314
2011-04-01,469200.361,1149,856,408.3554055700609
2011-05-01,678594.56,1555,1056,436.39521543408364
2011-06-01,661213.6900000001,1393,991,474.66883704235465
2011-07-01,600091.011,1331,949,450.85725845229155
2011-08-01,645343.9,1280,935,504.174921875
2011-09-01,952838.382,1755,1266,542.9278529914529
2011-10-01,1039318.79,1929,1364,538.7863089683774
2011-11-01,1161817.3800000001,2657,1664,437.26660895747085
2011-12-01,518192.79,778,615,666.0575706940874
